user_id,post_id,interaction_score,hashtags
333,578,0.0,#career #python
787,774,2.0,#startup #education #music
110,101,1.0,#python
813,793,0.0,#cooking #design #gaming
468,365,1.0,#art #travel
1200,677,0.0,#coding #food #startup
169,275,0.0,#health #guitar #python
739,110,0.0,#design #music
553,105,0.0,#art
920,571,1.0,#fitness #ai
184,363,1.0,#python #guitar #ai
598,424,0.0,#career
498,586,1.0,#guitar #travel #health
551,309,0.0,#startup
343,446,0.0,#gaming #startup
740,258,3.0,#gaming #photography #design
220,139,0.0,#python #guitar
675,451,0.0,#health #coding #python
412,491,0.0,#python #coding
1006,590,2.0,#guitar #cooking
805,374,0.0,#photography #career #travel
1127,28,3.0,#photography #design
597,710,0.0,#gaming #health
621,248,0.0,#art
773,76,1.0,#gaming #guitar #education
857,557,0.0,#career #startup
224,788,0.0,#music #travel #ml
1154,661,1.0,#python #art
217,11,0.0,#education
1063,572,1.0,#food #design #music
802,475,2.0,#education #health #music
51,495,0.0,#startup #fitness
291,357,0.0,#photography #education
990,357,1.0,#design #python
138,308,0.0,#fitness #ai #python
224,694,2.0,#food #education #travel
1131,164,0.0,#design #food
830,645,0.0,#art #guitar #ai
405,461,1.0,#ai #photography
422,286,2.0,#science
209,550,0.0,#photography #design
234,269,1.0,#education #python
796,626,0.0,#music
721,469,1.0,#coding #startup #health
642,121,0.0,#travel
765,711,0.0,#art #health
1178,393,1.0,#career #travel
1137,171,1.0,#travel
645,462,1.0,#ai #gaming
280,200,2.0,#education #gaming #art
1008,426,2.0,#gaming #travel
170,579,0.0,#coding
67,282,0.0,#travel #design
1159,761,2.0,#career #education
232,587,0.0,#music #career #ml
904,560,0.0,#fitness #food
610,34,1.0,#startup #design
241,795,2.0,#science
719,728,1.0,#travel #health
424,212,2.0,#music #career #cooking
1104,173,0.0,#coding #science #cooking
1054,696,2.0,#art
122,284,2.0,#health
512,150,2.0,#guitar
1003,146,1.0,#art #guitar
926,78,1.0,#guitar
1056,768,0.0,#design #gaming
671,596,0.0,#startup #design #music
130,548,0.0,#photography #gaming
550,331,2.0,#career #health
1160,497,2.0,#ml #science #fitness
942,17,0.0,#design
935,1,3.0,#photography #health
619,163,2.0,#startup #music
513,85,0.0,#travel #ml #guitar
626,744,1.0,#art
187,721,0.0,#gaming
160,136,1.0,#design #ai #career
704,124,3.0,#health #gaming
146,235,0.0,#fitness #science #python
753,307,0.0,#health
141,544,1.0,#travel #design #music
437,644,2.0,#design #photography
178,103,0.0,#science
787,360,3.0,#health #food
568,661,0.0,#coding #ai #science
421,531,1.0,#guitar
606,662,0.0,#gaming
791,116,0.0,#startup #education #ai
740,325,0.0,#art #music #travel
965,789,0.0,#startup #ai #cooking
442,41,3.0,#education #coding
1027,786,1.0,#guitar #startup #health
569,86,0.0,#photography #health #python
801,601,1.0,#startup #coding #art
489,60,0.0,#fitness #design
113,317,1.0,#travel #fitness #ai
282,719,0.0,#music #education
1060,739,0.0,#health #cooking
242,790,2.0,#art #cooking
1073,66,0.0,#startup #gaming #design
1047,369,0.0,#travel #music #science
523,792,0.0,#fitness #food #education
6,46,2.0,#food
95,484,0.0,#travel
73,567,2.0,#art #food #python
509,427,3.0,#cooking #startup
1171,382,0.0,#ml #travel #food
1057,48,3.0,#design
579,793,2.0,#startup #career
936,9,0.0,#science #coding
497,476,0.0,#photography #career
503,155,0.0,#ai #food
1110,355,1.0,#ai #python #science
771,756,2.0,#photography
1086,244,1.0,#health
574,96,0.0,#education
846,718,2.0,#startup #fitness
1036,137,1.0,#startup #ml
891,679,3.0,#coding
535,323,3.0,#python #science
928,279,0.0,#health
1198,112,0.0,#design
955,322,1.0,#music #photography #design
632,475,0.0,#startup
323,703,0.0,#ml #photography #python
304,94,2.0,#guitar #education
101,694,0.0,#ai
829,464,1.0,#food #fitness #design
209,144,0.0,#food
268,203,2.0,#startup #cooking
154,23,3.0,#design
264,95,3.0,#fitness #ml
945,52,0.0,#art #guitar #gaming
61,392,1.0,#music
440,192,0.0,#health #ml
504,663,0.0,#career #gaming
125,90,0.0,#art
409,659,2.0,#food #career #ai
784,731,0.0,#gaming #music #education
659,398,0.0,#python
449,31,2.0,#ml #gaming
1085,367,2.0,#travel
206,254,1.0,#career #ml
450,590,2.0,#music #travel
361,243,1.0,#music #ai #science
1163,578,0.0,#gaming
1111,317,0.0,#startup
116,239,1.0,#education
979,1,0.0,#photography #health #python
364,332,0.0,#science
291,793,0.0,#music #startup #science
811,601,0.0,#python #health
323,750,3.0,#gaming #python #travel
1151,711,2.0,#music #food #travel
775,315,2.0,#health #travel
4,719,3.0,#science #ml
373,617,0.0,#food #fitness #gaming
289,340,2.0,#music
655,172,1.0,#python
915,12,0.0,#startup
718,263,2.0,#ai #ml #guitar
898,751,1.0,#art
1010,388,0.0,#fitness #gaming
1184,667,2.0,#travel
925,76,2.0,#coding
42,327,0.0,#startup
701,175,2.0,#startup
1121,96,0.0,#gaming #ai #art
338,622,2.0,#ml
208,340,0.0,#art
1135,740,3.0,#cooking #coding #career
487,99,0.0,#career #gaming #health
112,370,0.0,#coding
984,205,0.0,#travel
598,84,1.0,#coding
815,483,1.0,#cooking #startup #guitar
379,380,2.0,#travel #design
92,270,1.0,#food #cooking
1156,64,0.0,#fitness #startup #music
1109,424,3.0,#food #career #ml
793,536,1.0,#gaming #food #science
613,81,0.0,#ml #education #career
1171,694,3.0,#fitness
920,178,3.0,#photography
395,130,0.0,#art
414,643,0.0,#cooking #python #startup
179,398,1.0,#python #cooking #education
939,13,2.0,#science #education #art
231,425,0.0,#science #fitness #career
1153,799,0.0,#career #music
842,271,0.0,#science #gaming
77,177,0.0,#guitar
80,406,2.0,#food #ml
974,276,2.0,#python
621,319,0.0,#fitness #food
276,308,3.0,#python #cooking
854,620,1.0,#design
433,417,2.0,#music #ml #education
326,68,0.0,#guitar #health #education
1165,30,0.0,#ml
511,34,1.0,#photography #cooking
755,476,1.0,#fitness #ai #food
763,501,1.0,#gaming
1130,359,0.0,#startup #coding
57,396,0.0,#photography #food #career
424,276,1.0,#ai #science #gaming
271,663,0.0,#food
517,623,2.0,#cooking #art
772,358,1.0,#design
619,694,1.0,#guitar #fitness #ai
1048,679,3.0,#career #coding
612,701,0.0,#python
567,656,0.0,#cooking #coding
386,154,1.0,#ml
828,677,0.0,#ai
1019,303,0.0,#guitar #science
73,598,2.0,#photography #python #food
1095,654,2.0,#music #education #coding
349,674,2.0,#coding
200,483,0.0,#career #travel
688,671,0.0,#food #coding
862,340,0.0,#coding #design #fitness
964,55,2.0,#science #startup #gaming
399,513,0.0,#guitar #education #coding
847,56,2.0,#health
411,351,1.0,#design #health #python
370,798,0.0,#travel #python
119,5,1.0,#travel
1181,783,0.0,#health
889,649,1.0,#gaming #guitar
10,39,1.0,#music #ai #python
1088,196,0.0,#food
464,711,2.0,#health #fitness
786,516,1.0,#startup
94,306,3.0,#education #science
692,445,2.0,#python
1004,368,2.0,#guitar
40,234,0.0,#photography
45,604,1.0,#music
77,385,2.0,#career #ml
99,678,0.0,#ml
238,427,1.0,#career
518,486,2.0,#ai
617,431,1.0,#education #cooking #health
858,108,1.0,#fitness #coding #science
218,510,0.0,#cooking
1072,207,0.0,#coding #travel
81,562,1.0,#gaming
678,241,0.0,#startup #fitness #gaming
306,93,2.0,#fitness
525,660,0.0,#cooking #design
103,103,2.0,#coding
738,694,0.0,#fitness #science #ml
20,142,1.0,#python
733,449,3.0,#startup #music
702,188,0.0,#design #cooking
790,707,2.0,#travel #fitness
272,713,2.0,#fitness
853,605,1.0,#design #travel #guitar
735,627,0.0,#health #gaming #career
232,422,1.0,#cooking
644,13,2.0,#education #food #python
1064,536,1.0,#fitness #art #food
987,355,1.0,#guitar #health #ml
24,659,3.0,#gaming #science #travel
154,770,1.0,#python
570,52,1.0,#guitar #science #food
162,471,1.0,#design #startup #gaming
916,324,0.0,#ai #fitness
827,423,0.0,#ai #startup #coding
1042,576,0.0,#design #python #music
112,229,2.0,#career #gaming
745,734,1.0,#food
5,350,0.0,#coding #career #education
766,719,0.0,#gaming
288,735,2.0,#fitness #cooking
402,193,0.0,#photography #design
391,734,0.0,#ml #fitness
923,469,1.0,#health #gaming #ai
1087,754,0.0,#science #gaming
1042,800,3.0,#science
356,749,2.0,#guitar
660,517,2.0,#food #cooking
815,352,3.0,#health #science
846,617,2.0,#education #coding #python
1134,648,0.0,#coding
708,689,0.0,#travel #education #python
237,780,0.0,#science #art
1094,293,2.0,#ai #education
219,26,0.0,#ml
410,274,2.0,#coding
514,150,2.0,#coding #photography #ml
735,464,0.0,#career #food #guitar
487,524,2.0,#coding #ml #guitar
794,427,3.0,#python #career #ml
27,762,0.0,#design #food #music
1120,757,1.0,#photography #coding #design
364,700,0.0,#education
245,387,0.0,#career #cooking
267,165,1.0,#ai #python
956,727,3.0,#health
661,612,0.0,#coding #gaming #music
150,725,0.0,#travel
1067,70,2.0,#art
1113,550,1.0,#food #photography
680,340,0.0,#education
973,575,2.0,#ai #fitness #music
913,247,3.0,#food #ml #python
782,117,0.0,#coding #ai #education
768,527,2.0,#gaming #ml
608,668,0.0,#startup #fitness #travel
1102,547,0.0,#photography
437,702,1.0,#photography
1102,720,2.0,#art #startup #health
49,471,2.0,#startup
151,56,0.0,#career #startup
1178,234,3.0,#guitar #design
829,444,0.0,#fitness #career
13,657,2.0,#science
94,718,2.0,#education #fitness
594,703,0.0,#coding
897,391,0.0,#ai #gaming #travel
1093,226,0.0,#career #coding
296,306,1.0,#music #ai #health
253,43,0.0,#guitar #career #startup
625,216,2.0,#music #photography #art
1050,146,0.0,#cooking
398,118,0.0,#ml #career #design
1126,75,0.0,#cooking
202,203,2.0,#python #music
263,688,1.0,#coding
143,199,0.0,#python #coding
1197,157,1.0,#python #art
346,5,0.0,#art
567,369,0.0,#python #gaming #design
913,368,2.0,#career #fitness
360,662,1.0,#health #career
403,270,2.0,#startup #science #ai
1039,647,0.0,#science #guitar #photography
76,565,0.0,#gaming #health #music
804,229,2.0,#coding #health #design
1027,523,0.0,#education #ai
490,629,1.0,#health #design #travel
367,580,3.0,#health #gaming #music
83,225,2.0,#startup
542,379,0.0,#photography #education #music
795,481,3.0,#ml
664,106,2.0,#cooking #science #travel
772,670,0.0,#startup #education #cooking
771,229,1.0,#music #gaming
988,619,0.0,#design
340,236,0.0,#cooking #photography #health
383,162,0.0,#fitness #food #art
677,738,0.0,#gaming #science #photography
331,663,2.0,#food
89,131,1.0,#health
1050,41,2.0,#ml
341,265,3.0,#guitar #ai #coding
176,222,1.0,#gaming #travel
450,421,1.0,#travel #education #cooking
344,742,1.0,#science #startup
471,388,0.0,#ai
415,536,2.0,#art #health #fitness
364,488,3.0,#ml #career #education
241,96,1.0,#career
3,794,1.0,#education #art
759,45,1.0,#food #gaming
781,359,1.0,#science #fitness #art
275,261,1.0,#startup
581,613,2.0,#cooking #photography
12,727,2.0,#science
1071,121,1.0,#photography #python
838,371,0.0,#science #cooking
536,549,1.0,#cooking #guitar
418,424,1.0,#gaming #travel #music
1146,569,1.0,#science #music
816,754,0.0,#fitness #food #design
332,103,0.0,#python #career
107,165,0.0,#ai #startup #health
966,615,1.0,#cooking
455,380,0.0,#guitar
821,629,1.0,#ml #travel
1013,450,0.0,#education #coding #photography
69,614,1.0,#food #travel #ml
737,245,1.0,#startup
566,799,0.0,#guitar #science #photography
1061,16,2.0,#startup
1126,292,2.0,#science #music #career
567,232,1.0,#design
828,589,0.0,#art
1037,110,1.0,#coding #python #fitness
1052,264,2.0,#cooking #design #guitar
1154,496,2.0,#design #science
57,494,0.0,#guitar
452,694,2.0,#art #music
1058,549,0.0,#food #coding
191,409,1.0,#startup #career
366,488,0.0,#science
552,188,3.0,#photography #gaming #science
481,754,0.0,#photography #food
416,256,2.0,#health #fitness
246,81,1.0,#gaming #ai #ml
988,381,1.0,#science #cooking
1006,188,3.0,#cooking #guitar #food
1182,132,0.0,#gaming #career
67,515,0.0,#travel #design #fitness
1062,472,0.0,#ai
432,389,1.0,#music #cooking
384,562,0.0,#gaming #python
750,189,1.0,#art
763,374,2.0,#design #travel
1171,135,3.0,#food #fitness #cooking
483,569,1.0,#photography #health
307,485,2.0,#art
1024,138,3.0,#education #career #python
997,308,0.0,#ml #guitar #fitness
335,62,0.0,#gaming #fitness
922,763,0.0,#music #career
1142,264,0.0,#fitness #music
408,591,1.0,#career #travel #coding
728,333,1.0,#design #startup
781,629,0.0,#health #travel #python
864,647,1.0,#startup #science
332,352,0.0,#coding #cooking
810,278,2.0,#science #education
923,424,0.0,#health
481,678,0.0,#startup #photography #travel
814,106,0.0,#career #ml
54,790,0.0,#fitness
538,633,0.0,#guitar #coding #food
507,756,0.0,#health #science #education
350,30,0.0,#python #gaming
957,554,3.0,#design #health #travel
936,647,2.0,#art #education #coding
712,494,1.0,#design
631,375,1.0,#coding
22,1,1.0,#music
588,481,1.0,#gaming #science #coding
19,785,1.0,#food #ai
1123,383,0.0,#art #guitar #food
335,733,2.0,#guitar #food
539,82,1.0,#education
557,292,1.0,#cooking #art #photography
141,187,0.0,#design
928,279,2.0,#photography #python
40,156,0.0,#ai #travel #fitness
578,276,0.0,#ai #food
185,155,0.0,#python
861,320,2.0,#music #design
65,339,0.0,#ml
546,795,0.0,#gaming #travel #photography
513,391,2.0,#food
789,790,3.0,#ml
408,472,2.0,#education
427,485,0.0,#python #travel
87,763,3.0,#fitness #cooking #gaming
612,204,0.0,#photography
232,242,1.0,#ai #travel
566,599,0.0,#ai
87,596,2.0,#health #music
184,255,0.0,#python
123,62,0.0,#career
220,129,1.0,#career #music
899,751,0.0,#guitar #music #health
514,41,1.0,#career #coding
1112,714,1.0,#travel #career #music
663,750,1.0,#career #travel #startup
1088,159,1.0,#career #music
930,1,2.0,#guitar #travel #ai
746,795,1.0,#startup #career
794,195,1.0,#career #health
580,331,1.0,#fitness #science
1072,675,0.0,#travel
65,207,0.0,#fitness
66,585,1.0,#gaming #education
525,51,0.0,#startup #ai #photography
1007,82,1.0,#ml #music #art
756,726,0.0,#cooking #education #ml
145,312,0.0,#education
199,104,2.0,#guitar #photography #career
1078,673,0.0,#travel #career #art
217,785,1.0,#design #art
214,171,2.0,#guitar #education #python
324,547,3.0,#music #python
1127,333,2.0,#art #python
493,577,1.0,#career #cooking
738,464,1.0,#ai #ml
583,611,0.0,#coding
14,308,3.0,#python
45,791,2.0,#cooking #career #education
1140,585,3.0,#fitness
78,472,0.0,#cooking
752,597,0.0,#coding #startup
1169,410,1.0,#startup
665,495,0.0,#science #fitness #coding
77,749,2.0,#startup #ml
685,357,2.0,#art #fitness
465,766,1.0,#ai #guitar #ml
625,537,0.0,#science #health #python
1029,715,0.0,#guitar
913,771,1.0,#startup #food #art
594,404,0.0,#startup #gaming
1171,764,0.0,#cooking #startup
817,514,1.0,#health #science #gaming
1146,203,1.0,#science #photography #education
505,249,0.0,#python #startup
231,688,1.0,#music #photography
657,353,1.0,#coding
347,359,1.0,#health #design
92,240,0.0,#health #startup
231,758,0.0,#health #coding #ai
704,711,2.0,#design #gaming
47,340,0.0,#photography #science #education
530,562,1.0,#health #ai #guitar
